Wall time,Step,Value
1728798872.9386156,0,327.0
1728798884.22704,10000,170.0
1728798895.1320307,20000,248.0
1728798939.1293578,30000,177.0
1728798982.337328,40000,605.0
1728799026.6515992,50000,369.0
1728799071.2922294,60000,493.0
1728799115.4432497,70000,512.0
1728799159.137929,80000,320.0
1728799203.8453197,90000,547.0
1728799247.623678,100000,424.0
1728799292.0624819,110000,686.0
1728799336.3907256,120000,702.0
1728799380.7864697,130000,393.0
1728799425.1102998,140000,590.0
1728799469.7105236,150000,332.0
1728799514.0235345,160000,379.0
1728799557.7585344,170000,415.0
1728799604.263679,180000,664.0
1728799650.488782,190000,805.0
1728799695.370679,200000,466.0
1728799740.3898299,210000,450.0
1728799785.3595588,220000,473.0
1728799832.893874,230000,950.0
1728799879.8985815,240000,738.0
1728799927.1468785,250000,767.0
1728799974.9183555,260000,841.0
1728800020.0939906,270000,772.0
1728800066.501914,280000,638.0
1728800113.9812903,290000,649.0
1728800160.2786748,300000,667.0
1728800207.2393508,310000,843.0
1728800252.7780066,320000,1001.0
1728800299.982368,330000,742.0
1728800346.0768719,340000,978.0
1728800394.496303,350000,919.0
1728800441.4398649,360000,426.0
1728800489.5961199,370000,1037.0
1728800538.4096768,380000,1100.0
1728800587.8981621,390000,941.0
1728800635.5855286,400000,841.0
1728800683.2056775,410000,689.0
1728800731.9885082,420000,1035.0
1728800779.5893512,430000,778.0
1728800826.568228,440000,850.0
1728800875.381983,450000,996.0
1728800925.9642775,460000,1196.0
1728800975.9794843,470000,1279.0
1728801025.5960472,480000,1600.0
1728801074.0577738,490000,977.0
1728801123.4787784,500000,1092.0
1728801172.4542115,510000,1337.0
1728801219.957809,520000,837.0
1728801269.480161,530000,1187.0
1728801319.3658066,540000,1296.0
1728801368.4779546,550000,1292.0
1728801418.949761,560000,1666.0
1728801468.3153856,570000,1024.0
1728801518.7975051,580000,1542.0
1728801568.4352841,590000,1023.0
1728801618.4201443,600000,1678.0
1728801667.6969814,610000,1266.0
1728801715.0149212,620000,803.0
1728801764.9698668,630000,1579.0
1728801814.659832,640000,1398.0
1728801862.5927048,650000,1019.0
1728801911.2717433,660000,1231.0
1728801961.3698936,670000,1657.0
1728802010.1509223,680000,1207.0
1728802060.0995545,690000,1449.0
1728802109.0102127,700000,1050.0
1728802158.8276231,710000,1620.0
1728802208.8800437,720000,1423.0
1728802257.1332097,730000,1074.0
1728802308.4474883,740000,1271.0
1728802357.0677857,750000,1445.0
1728802407.7163837,760000,1594.0
1728802457.0196066,770000,1147.0
1728802508.0869248,780000,1857.0
1728802558.332504,790000,1779.0
1728802608.2165542,800000,1337.0
1728802659.097285,810000,2028.0
1728802709.4929802,820000,1437.0
1728802758.8958735,830000,1656.0
1728802808.7836332,840000,1358.0
1728802858.6090372,850000,1345.0
1728802908.9620063,860000,1871.0
1728802958.4031909,870000,1529.0
1728803008.2710743,880000,1909.0
1728803056.8550687,890000,1744.0
1728803105.3992956,900000,1968.0
1728803155.1019664,910000,1595.0
1728803205.500231,920000,2244.0
1728803255.1857812,930000,1633.0
1728803304.2381546,940000,1702.0
1728803354.2836688,950000,2037.0
1728803405.0565822,960000,1795.0
1728803455.6045935,970000,2955.0
1728803504.70049,980000,2634.0
1728803553.2674181,990000,1994.0
