Wall time,Step,Value
1728798873.2380102,502,160.0
1728798873.852748,1545,320.0
1728798874.0914686,1951,190.0
1728798874.384016,2451,170.0
1728798875.7983654,4849,190.0
1728798876.1402986,5433,300.0
1728798876.434545,5936,190.0
1728798877.3195763,7440,190.0
1728798877.5904148,7899,230.0
1728798877.9159906,8447,290.0
1728798878.4646676,9372,240.0
1728798878.6999304,9766,190.0
1728798884.3384886,10179,180.0
1728798884.8971605,11119,210.0
1728798885.1847947,11608,270.0
1728798885.9592633,12920,160.0
1728798886.2004805,13325,210.0
1728798886.4588661,13765,280.0
1728798886.7524514,14262,190.0
1728798886.9883065,14656,190.0
1728798887.8494902,16115,220.0
1728798888.1202908,16573,200.0
1728798888.687279,17526,260.0
1728798888.981822,18018,190.0
1728798889.2335994,18439,260.0
1728798889.540321,18954,190.0
1728798889.796119,19390,190.0
1728798905.1564045,22703,140.0
1728798906.9785657,23179,280.0
1728798909.917577,23950,550.0
1728798911.8397186,24457,300.0
1728798913.85185,24972,210.0
1728798916.2687228,25598,410.0
1728798918.2440176,26110,310.0
1728798920.234965,26625,260.0
1728798922.1283748,27115,200.0
1728798926.1125684,28144,290.0
1728798931.4283698,29517,280.0
1728798939.3315587,30051,330.0
1728798940.9103546,30459,230.0
1728798942.6387134,30905,130.0
1728798946.6201441,31947,240.0
1728798948.1001997,32345,200.0
1728798949.614264,32755,250.0
1728798952.9585073,33641,570.0
1728798956.8271375,34646,240.0
1728798959.346175,35323,330.0
1728798962.833022,36252,220.0
1728798966.628791,37234,260.0
1728798971.1617386,38437,170.0
1728798973.0582962,38947,200.0
1728798974.603248,39348,210.0
1728798976.5054796,39858,170.0
1728798985.576967,40860,270.0
1728798986.7815576,41171,190.0
1728798989.9072158,41977,200.0
1728798991.8520272,42479,220.0
1728798993.981515,43029,230.0
1728798997.9219134,44053,290.0
1728799000.0522475,44602,270.0
1728799010.901626,47419,460.0
1728799019.0041056,49522,270.0
1728799026.7806025,50032,200.0
1728799032.616698,51556,530.0
1728799034.5841067,52077,360.0
1728799038.1051645,52989,190.0
1728799040.383698,53576,460.0
1728799042.2910552,54066,200.0
1728799044.8120985,54717,1060.0
1728799046.6835227,55199,260.0
1728799048.7642875,55735,270.0
1728799050.4674864,56194,210.0
1728799053.9954033,57148,230.0
1728799055.5988765,57579,220.0
1728799058.633854,58363,1090.0
1728799072.2865014,60270,280.0
1728799074.267155,60792,250.0
1728799081.8044019,62734,230.0
1728799083.57683,63190,250.0
1728799087.1882992,64142,270.0
1728799088.821249,64583,180.0
1728799090.804351,65112,210.0
1728799092.5394855,65579,270.0
1728799094.3238127,66056,210.0
1728799098.2983801,67079,220.0
1728799101.5770833,67926,260.0
1728799103.3317673,68378,220.0
1728799104.9672928,68819,300.0
1728799106.9517784,69352,380.0
1728799121.8511517,71663,180.0
1728799123.7545855,72162,220.0
1728799125.927482,72724,380.0
1728799127.6646945,73178,200.0
1728799129.5055292,73657,280.0
1728799134.4984794,74944,280.0
1728799141.685176,76786,200.0
1728799146.5491774,78057,340.0
1728799148.0592256,78444,270.0
1728799152.777688,79653,650.0
1728799159.6476529,80129,240.0
1728799163.6468885,81153,370.0
1728799165.3320322,81584,240.0
1728799167.2124314,82067,360.0
1728799170.7581372,82972,230.0
1728799175.3939576,84158,830.0
1728799179.3117812,85161,250.0
1728799181.4485297,85706,230.0
1728799184.3489592,86450,650.0
1728799187.990698,87385,220.0
1728799190.1037176,87929,320.0
1728799191.7502458,88352,220.0
1728799193.3009357,88751,190.0
1728799194.971016,89181,240.0
1728799204.682622,90212,270.0
1728799206.628425,90710,290.0
1728799208.4672863,91181,210.0
1728799210.352192,91676,250.0
1728799212.2524116,92190,310.0
1728799213.9166129,92640,270.0
1728799215.7646196,93141,260.0
1728799221.789922,94752,200.0
1728799224.030471,95333,410.0
1728799225.1829739,95644,130.0
1728799227.8568501,96343,870.0
1728799233.5540304,97790,300.0
1728799239.658362,99372,240.0
1728799241.5135128,99871,210.0
1728799249.1780374,100411,290.0
1728799252.8096507,101342,390.0
1728799254.7116683,101826,350.0
1728799256.2959807,102228,130.0
1728799258.2175603,102718,260.0
1728799262.6734662,103851,750.0
1728799264.6040251,104341,260.0
1728799267.8259916,105207,450.0
1728799271.2456186,106132,120.0
1728799275.754708,107350,500.0
1728799279.4489925,108348,350.0
1728799281.3928387,108872,450.0
1728799284.916688,109821,250.0
1728799294.8646665,110753,500.0
1728799296.3669286,111158,310.0
1728799298.8650093,111834,540.0
1728799300.3656802,112239,220.0
1728799304.240256,113250,220.0
1728799305.9942758,113706,180.0
1728799308.8552,114439,570.0
1728799314.3374565,115876,180.0
1728799318.3666124,116941,280.0
1728799320.2253513,117414,230.0
1728799324.470852,118491,320.0
1728799326.5756829,119024,290.0
1728799328.7651105,119580,360.0
1728799337.338624,120236,370.0
1728799339.9107513,120891,630.0
1728799341.5493019,121307,270.0
1728799347.1612313,122732,260.0
1728799349.8526797,123416,490.0
1728799353.452484,124330,280.0
1728799355.267294,124792,310.0
1728799357.0228438,125238,260.0
1728799359.0663579,125758,340.0
1728799361.124844,126281,360.0
1728799363.1550796,126795,220.0
1728799368.2361696,128082,230.0
1728799370.0785701,128571,300.0
1728799371.8373637,129042,340.0
1728799373.4765296,129470,240.0
1728799382.9223154,130546,180.0
1728799384.9504511,131060,300.0
1728799386.7700841,131520,240.0
1728799388.9907246,132082,330.0
1728799393.894669,133369,340.0
1728799397.3346338,134289,2210.0
1728799408.3339827,137186,460.0
1728799412.2983828,138231,510.0
1728799413.9455082,138672,210.0
1728799426.122841,140257,250.0
1728799427.981104,140729,270.0
1728799429.8094907,141190,300.0
1728799433.9151719,142264,180.0
1728799435.586799,142711,300.0
1728799437.0843875,143111,220.0
1728799438.9972372,143621,370.0
1728799441.8205752,144339,480.0
1728799444.460673,145007,450.0
1728799446.1475935,145432,270.0
1728799447.7456598,145834,270.0
1728799451.5470567,146793,190.0
1728799453.6508815,147324,370.0
1728799457.281044,148243,190.0
1728799459.10826,148707,190.0
1728799472.996697,150836,250.0
1728799475.0331817,151353,270.0
1728799477.0041068,151853,300.0
1728799480.5413694,152747,400.0
1728799482.4286847,153221,360.0
1728799485.1244,153904,510.0
1728799494.0083601,156149,230.0
1728799496.8101811,156856,580.0
1728799498.6705854,157324,320.0
1728799500.766279,157852,340.0
1728799502.0013673,158177,200.0
1728799504.2952287,158775,490.0
1728799507.9738755,159741,400.0
1728799515.1114104,160273,330.0
1728799517.0363128,160774,290.0
1728799518.9632614,161287,250.0
1728799522.2929704,162159,1330.0
1728799524.5218258,162720,320.0
1728799527.9674156,163636,310.0
1728799529.8807197,164133,220.0
1728799531.75973,164617,260.0
1728799533.368241,165037,220.0
1728799535.5728416,165617,970.0
1728799540.0919383,166782,590.0
1728799546.6493907,168514,290.0
1728799550.3926032,169496,230.0
1728799558.0533872,170073,420.0
1728799560.8747694,170781,660.0
1728799564.3406308,171672,1160.0
1728799565.917088,172083,310.0
1728799573.94049,174156,320.0
1728799575.7071753,174600,320.0
1728799579.9435256,175662,310.0
1728799583.2059705,176482,340.0
1728799585.3879824,177030,360.0
1728799586.6971362,177360,230.0
1728799589.0611901,177950,520.0
1728799590.8573625,178412,370.0
1728799593.555282,179122,1080.0
1728799596.420772,179880,990.0
1728799605.2334116,180256,260.0
1728799606.818896,180651,260.0
1728799609.950153,181452,730.0
1728799611.476104,181833,160.0
